"","Data","Trait","Fold","k","Env","Top_percentage_to_select","Line","Observed","Predicted","Line.1","Observed.1","Predicted.1","Line.2","Observed.2","Predicted.2"
"64","Rice_Kim_2020","y.pheno",4,1,1,0.2,"B1208",3631.28221331267,0,"B1208",3766.66666666667,0,"B1208",3766.66666666667,0
"65","Rice_Kim_2020","y.pheno",4,1,1,0.2,"B1075",3661.32407991522,0,"B1075",3869.33333333333,0,"B1075",3869.33333333333,0
"66","Rice_Kim_2020","y.pheno",4,1,1,0.2,"A1259",3702.64591152556,0,"A1259",3836,0,"A1259",3836,1
"67","Rice_Kim_2020","y.pheno",4,1,1,0.2,"B1203",3728.33520005627,0,"B1203",3688,0,"B1203",3688,0
"68","Rice_Kim_2020","y.pheno",4,1,1,0.2,"B1053",3706.21031799666,0,"B1053",3761.33333333333,0,"B1053",3761.33333333333,0
"69","Rice_Kim_2020","y.pheno",4,1,1,0.2,"B1110",3642.06771181206,0,"B1110",3876.66666666667,0,"B1110",3876.66666666667,0
"70","Rice_Kim_2020","y.pheno",4,1,1,0.2,"M1469",3651.9967398648,0,"M1469",3485.33333333333,0,"M1469",3485.33333333333,1
"71","Rice_Kim_2020","y.pheno",4,1,1,0.2,"B1106",3681.94304088262,0,"B1106",3807,0,"B1106",3807,0
"72","Rice_Kim_2020","y.pheno",4,1,1,0.2,"A1316",3710.22943328636,0,"A1316",3826.66666666667,0,"A1316",3826.66666666667,0
"73","Rice_Kim_2020","y.pheno",4,1,1,0.2,"B1153",3715.46887203526,0,"B1153",3790.33333333333,0,"B1153",3790.33333333333,0
"74","Rice_Kim_2020","y.pheno",4,1,1,0.2,"A1258",3675.77906188781,0,"A1258",3911,0,"A1258",3911,1
"75","Rice_Kim_2020","y.pheno",4,1,1,0.2,"A1309",3805.90989713895,3805.90989713895,"A1309",3821.66666666667,3805.90989713895,"A1309",3821.66666666667,0
"76","Rice_Kim_2020","y.pheno",4,1,1,0.2,"A1257",3717.81039959225,0,"A1257",3457.33333333333,0,"A1257",3457.33333333333,0
"77","Rice_Kim_2020","y.pheno",4,1,1,0.2,"M1345",3598.57722604369,0,"M1345",3346.33333333333,0,"M1345",3346.33333333333,0
"78","Rice_Kim_2020","y.pheno",4,1,1,0.2,"A1321",3733.54799710994,3733.54799710994,"A1321",3484.66666666667,3733.54799710994,"A1321",3484.66666666667,0
"79","Rice_Kim_2020","y.pheno",4,1,1,0.2,"A1312",3777.35086116556,3777.35086116556,"A1312",3824.66666666667,3777.35086116556,"A1312",3824.66666666667,0
"80","Rice_Kim_2020","y.pheno",4,1,1,0.2,"B1060",3633.973279556,0,"B1060",3756,0,"B1060",3756,0
"81","Rice_Kim_2020","y.pheno",4,1,1,0.2,"M1358",3609.84784295577,0,"M1358",3476,0,"M1358",3476,0
"82","Rice_Kim_2020","y.pheno",4,1,1,0.2,"M1364",3629.94097084984,0,"M1364",3435.33333333333,0,"M1364",3435.33333333333,1
"83","Rice_Kim_2020","y.pheno",4,1,1,0.2,"A1318",3650.02932203006,0,"A1318",3566.33333333333,0,"A1318",3566.33333333333,0
"84","Rice_Kim_2020","y.pheno",4,1,1,0.2,"B1058",3743.8310363056,3743.8310363056,"B1058",3614,3743.8310363056,"B1058",3614,0
"85","Rice_Kim_2020","y.pheno",5,1,1,0.2,"B1159",3740.8052106527,0,"B1159",3696,0,"B1159",3696,0
"86","Rice_Kim_2020","y.pheno",5,1,1,0.2,"B1107",3536.04899170066,0,"B1107",3446.33333333333,0,"B1107",3446.33333333333,1
"87","Rice_Kim_2020","y.pheno",5,1,1,0.2,"B1216",3684.3259376963,0,"B1216",3292,0,"B1216",3292,0
"88","Rice_Kim_2020","y.pheno",5,1,1,0.2,"B1208",3654.97975923007,0,"B1208",3766.66666666667,0,"B1208",3766.66666666667,0
"89","Rice_Kim_2020","y.pheno",5,1,1,0.2,"B1011",3618.48489654648,0,"B1011",3869.66666666667,0,"B1011",3869.66666666667,0
"90","Rice_Kim_2020","y.pheno",5,1,1,0.2,"M1347",3607.97334846962,0,"M1347",3274.33333333333,0,"M1347",3274.33333333333,0
"91","Rice_Kim_2020","y.pheno",5,1,1,0.2,"M1361",3610.38966665408,0,"M1361",3684.66666666667,0,"M1361",3684.66666666667,0
"92","Rice_Kim_2020","y.pheno",5,1,1,0.2,"B1203",3661.08571345958,0,"B1203",3688,0,"B1203",3688,0
"93","Rice_Kim_2020","y.pheno",5,1,1,0.2,"A1277",3704.72366660674,0,"A1277",3715.66666666667,0,"A1277",3715.66666666667,0
"94","Rice_Kim_2020","y.pheno",5,1,1,0.2,"A1259",3741.52432695281,0,"A1259",3836,0,"A1259",3836,0
"95","Rice_Kim_2020","y.pheno",5,1,1,0.2,"B1008",3761.49475179102,3761.49475179102,"B1008",3924,3761.49475179102,"B1008",3924,1
"96","Rice_Kim_2020","y.pheno",5,1,1,0.2,"B1110",3601.46523882532,0,"B1110",3876.66666666667,0,"B1110",3876.66666666667,0
"97","Rice_Kim_2020","y.pheno",5,1,1,0.2,"B1058",3757.85214367765,3757.85214367765,"B1058",3614,3757.85214367765,"B1058",3614,0
"98","Rice_Kim_2020","y.pheno",5,1,1,0.2,"B1103",3663.08642529302,0,"B1103",3728,0,"B1103",3728,0
"99","Rice_Kim_2020","y.pheno",5,1,1,0.2,"B1209",3677.51761800832,0,"B1209",3469,0,"B1209",3469,1
"100","Rice_Kim_2020","y.pheno",5,1,1,0.2,"A1274",3732.84812540987,0,"A1274",4029,0,"A1274",4029,0
"101","Rice_Kim_2020","y.pheno",5,1,1,0.2,"A1311",3837.3743305808,3837.3743305808,"A1311",3748,3837.3743305808,"A1311",3748,0
"102","Rice_Kim_2020","y.pheno",5,1,1,0.2,"A1312",3769.62377193457,3769.62377193457,"A1312",3824.66666666667,3769.62377193457,"A1312",3824.66666666667,0
"103","Rice_Kim_2020","y.pheno",5,1,1,0.2,"B1206",3599.75110115408,0,"B1206",3589.33333333333,0,"B1206",3589.33333333333,0
"104","Rice_Kim_2020","y.pheno",5,1,1,0.2,"M1351",3605.19484083901,0,"M1351",3586.33333333333,0,"M1351",3586.33333333333,1
"105","Rice_Kim_2020","y.pheno",5,1,1,0.2,"B1207",3681.90017464179,0,"B1207",3501,0,"B1207",3501,0
"106","Rice_Kim_2020","y.pheno",1,1,2,0.2,"B1161",2197.56188714058,0,"B1161",2322.66666666667,0,"B1161",2322.66666666667,1
"107","Rice_Kim_2020","y.pheno",1,1,2,0.2,"B1009",2308.72025904042,0,"B1009",1965.33333333333,0,"B1009",1965.33333333333,1
"108","Rice_Kim_2020","y.pheno",1,1,2,0.2,"A1257",2404.07416602311,2404.07416602311,"A1257",2358.33333333333,2404.07416602311,"A1257",2358.33333333333,0
"109","Rice_Kim_2020","y.pheno",1,1,2,0.2,"A1320",2361.08706953295,0,"A1320",2813.16666666667,0,"A1320",2813.16666666667,1
"110","Rice_Kim_2020","y.pheno",1,1,2,0.2,"M1353",1950.79876179306,0,"M1353",1793.5,0,"M1353",1793.5,0
"111","Rice_Kim_2020","y.pheno",1,1,2,0.2,"B1019",2345.65586898634,0,"B1019",2182.83333333333,0,"B1019",2182.83333333333,0
"112","Rice_Kim_2020","y.pheno",1,1,2,0.2,"A1272",2406.0237978916,2406.0237978916,"A1272",2756.16666666667,2406.0237978916,"A1272",2756.16666666667,1
"113","Rice_Kim_2020","y.pheno",1,1,2,0.2,"B1219",2378.5504473025,0,"B1219",2455.5,0,"B1219",2455.5,0
"114","Rice_Kim_2020","y.pheno",1,1,2,0.2,"B1111",2162.16929254873,0,"B1111",2360.66666666667,0,"B1111",2360.66666666667,0
"115","Rice_Kim_2020","y.pheno",1,1,2,0.2,"B1075",2429.78768786686,2429.78768786686,"B1075",2080.5,2429.78768786686,"B1075",2080.5,0
"116","Rice_Kim_2020","y.pheno",1,1,2,0.2,"M1364",2323.90797693548,0,"M1364",2165.16666666667,0,"M1364",2165.16666666667,0
"117","Rice_Kim_2020","y.pheno",1,1,2,0.2,"M1347",2238.33451160651,0,"M1347",1907.83333333333,0,"M1347",1907.83333333333,0
"118","Rice_Kim_2020","y.pheno",1,1,2,0.2,"A1302",2302.87126688897,0,"A1302",2409.16666666667,0,"A1302",2409.16666666667,0
"119","Rice_Kim_2020","y.pheno",1,1,2,0.2,"B1104",2225.18781842309,0,"B1104",3090.16666666667,0,"B1104",3090.16666666667,0
"120","Rice_Kim_2020","y.pheno",1,1,2,0.2,"B1207",2403.91307136884,2403.91307136884,"B1207",2741.66666666667,2403.91307136884,"B1207",2741.66666666667,0
"121","Rice_Kim_2020","y.pheno",1,1,2,0.2,"A1263",2234.61610151123,0,"A1263",2500.66666666667,0,"A1263",2500.66666666667,0
"122","Rice_Kim_2020","y.pheno",1,1,2,0.2,"B1206",2327.71307566105,0,"B1206",2720,0,"B1206",2720,0
"123","Rice_Kim_2020","y.pheno",1,1,2,0.2,"B1216",2346.59162208492,0,"B1216",2369.5,0,"B1216",2369.5,0
"124","Rice_Kim_2020","y.pheno",1,1,2,0.2,"M1363",2379.82405503421,0,"M1363",1994.33333333333,0,"M1363",1994.33333333333,0
"125","Rice_Kim_2020","y.pheno",1,1,2,0.2,"B1007",2228.89061333578,0,"B1007",2759.5,0,"B1007",2759.5,0
"126","Rice_Kim_2020","y.pheno",1,1,2,0.2,"M1354",1952.81336841109,0,"M1354",1847.83333333333,0,"M1354",1847.83333333333,0
"127","Rice_Kim_2020","y.pheno",2,1,2,0.2,"M1347",2289.18943355184,0,"M1347",1907.83333333333,0,"M1347",1907.83333333333,0
"128","Rice_Kim_2020","y.pheno",2,1,2,0.2,"B1216",2323.12784835905,0,"B1216",2369.5,0,"B1216",2369.5,0
"129","Rice_Kim_2020","y.pheno",2,1,2,0.2,"B1202",2227.8975451188,0,"B1202",1782.83333333333,0,"B1202",1782.83333333333,0
"130","Rice_Kim_2020","y.pheno",2,1,2,0.2,"A1262",2259.3492499955,0,"A1262",2358.83333333333,0,"A1262",2358.83333333333,0
"131","Rice_Kim_2020","y.pheno",2,1,2,0.2,"A1318",2314.86370333112,0,"A1318",2178.66666666667,0,"A1318",2178.66666666667,0
"132","Rice_Kim_2020","y.pheno",2,1,2,0.2,"A1264",2430.88283578735,0,"A1264",2466.33333333333,0,"A1264",2466.33333333333,1
"133","Rice_Kim_2020","y.pheno",2,1,2,0.2,"A1275",2531.64235614738,2531.64235614738,"A1275",2842.16666666667,2531.64235614738,"A1275",2842.16666666667,0
"134","Rice_Kim_2020","y.pheno",2,1,2,0.2,"M1360",2133.70712880319,0,"M1360",1586,0,"M1360",1586,0
"135","Rice_Kim_2020","y.pheno",2,1,2,0.2,"B1218",2622.86174128197,2622.86174128197,"B1218",2308.83333333333,2622.86174128197,"B1218",2308.83333333333,0
"136","Rice_Kim_2020","y.pheno",2,1,2,0.2,"B1209",2375.17245411677,0,"B1209",1810.33333333333,0,"B1209",1810.33333333333,0
"137","Rice_Kim_2020","y.pheno",2,1,2,0.2,"B1011",2529.69700603552,2529.69700603552,"B1011",2145.33333333333,2529.69700603552,"B1011",2145.33333333333,0
"138","Rice_Kim_2020","y.pheno",2,1,2,0.2,"B1062",2238.60651744575,0,"B1062",2740,0,"B1062",2740,0
"139","Rice_Kim_2020","y.pheno",2,1,2,0.2,"B1208",2276.02956841715,0,"B1208",2684.5,0,"B1208",2684.5,0
"140","Rice_Kim_2020","y.pheno",2,1,2,0.2,"B1158",2317.06119871367,0,"B1158",2237.5,0,"B1158",2237.5,0
"141","Rice_Kim_2020","y.pheno",2,1,2,0.2,"A1259",2387.12644547552,0,"A1259",2420.5,0,"A1259",2420.5,1
"142","Rice_Kim_2020","y.pheno",2,1,2,0.2,"B1217",2408.41481686066,0,"B1217",2343.66666666667,0,"B1217",2343.66666666667,0
"143","Rice_Kim_2020","y.pheno",2,1,2,0.2,"M1363",2345.14636873012,0,"M1363",1994.33333333333,0,"M1363",1994.33333333333,0
"144","Rice_Kim_2020","y.pheno",2,1,2,0.2,"B1105",2518.04323574924,2518.04323574924,"B1105",2204.33333333333,2518.04323574924,"B1105",2204.33333333333,0
"145","Rice_Kim_2020","y.pheno",2,1,2,0.2,"B1155",2194.7074415354,0,"B1155",2030.5,0,"B1155",2030.5,1
"146","Rice_Kim_2020","y.pheno",2,1,2,0.2,"M1463",2429.03654098855,0,"M1463",2225.66666666667,0,"M1463",2225.66666666667,0
"147","Rice_Kim_2020","y.pheno",2,1,2,0.2,"A1319",2306.72641732982,0,"A1319",2024.83333333333,0,"A1319",2024.83333333333,1
"148","Rice_Kim_2020","y.pheno",3,1,2,0.2,"A1261",2433.4871511498,2433.4871511498,"A1261",2687.66666666667,2433.4871511498,"A1261",2687.66666666667,0
"149","Rice_Kim_2020","y.pheno",3,1,2,0.2,"B1110",2365.37608047084,0,"B1110",1879.83333333333,0,"B1110",1879.83333333333,0
"150","Rice_Kim_2020","y.pheno",3,1,2,0.2,"A1269",2586.0509263428,2586.0509263428,"A1269",2730.5,2586.0509263428,"A1269",2730.5,0
"151","Rice_Kim_2020","y.pheno",3,1,2,0.2,"M1464",2395.82174758908,0,"M1464",2250.66666666667,0,"M1464",2250.66666666667,1
"152","Rice_Kim_2020","y.pheno",3,1,2,0.2,"B1005",2410.61833092148,0,"B1005",1634,0,"B1005",1634,1
"153","Rice_Kim_2020","y.pheno",3,1,2,0.2,"M1469",2295.58965212704,0,"M1469",2275,0,"M1469",2275,0
"154","Rice_Kim_2020","y.pheno",3,1,2,0.2,"M1362",2242.02621557277,0,"M1362",2034.33333333333,0,"M1362",2034.33333333333,1
"155","Rice_Kim_2020","y.pheno",3,1,2,0.2,"A1264",2419.32919483049,0,"A1264",2466.33333333333,0,"A1264",2466.33333333333,0
"156","Rice_Kim_2020","y.pheno",3,1,2,0.2,"A1279",2395.03144237144,0,"A1279",2982.5,0,"A1279",2982.5,0
"157","Rice_Kim_2020","y.pheno",3,1,2,0.2,"B1207",2502.38071427119,2502.38071427119,"B1207",2741.66666666667,2502.38071427119,"B1207",2741.66666666667,0
"158","Rice_Kim_2020","y.pheno",3,1,2,0.2,"B1105",2329.57908074026,0,"B1105",2204.33333333333,0,"B1105",2204.33333333333,0
"159","Rice_Kim_2020","y.pheno",3,1,2,0.2,"B1010",2467.23603707,2467.23603707,"B1010",2189,2467.23603707,"B1010",2189,1
"160","Rice_Kim_2020","y.pheno",3,1,2,0.2,"B1060",2293.43080242828,0,"B1060",2060.83333333333,0,"B1060",2060.83333333333,0
"161","Rice_Kim_2020","y.pheno",3,1,2,0.2,"M1367",2370.65505667021,0,"M1367",2783.33333333333,0,"M1367",2783.33333333333,0
"162","Rice_Kim_2020","y.pheno",3,1,2,0.2,"B1007",2323.65472431018,0,"B1007",2759.5,0,"B1007",2759.5,0
"163","Rice_Kim_2020","y.pheno",3,1,2,0.2,"B1159",2395.29289634333,0,"B1159",1833.33333333333,0,"B1159",1833.33333333333,0
"164","Rice_Kim_2020","y.pheno",3,1,2,0.2,"A1314",2412.90742069657,0,"A1314",1781.16666666667,0,"A1314",1781.16666666667,0
"165","Rice_Kim_2020","y.pheno",3,1,2,0.2,"M1471",2285.95501289106,0,"M1471",2322.5,0,"M1471",2322.5,0
"166","Rice_Kim_2020","y.pheno",3,1,2,0.2,"M1360",2119.21887019594,0,"M1360",1586,0,"M1360",1586,0
"167","Rice_Kim_2020","y.pheno",3,1,2,0.2,"A1265",2322.75756711759,0,"A1265",2538.5,0,"A1265",2538.5,0
"168","Rice_Kim_2020","y.pheno",3,1,2,0.2,"M1354",1962.54851387041,0,"M1354",1847.83333333333,0,"M1354",1847.83333333333,0
"169","Rice_Kim_2020","y.pheno",4,1,2,0.2,"B1208",2237.33764146246,0,"B1208",2684.5,0,"B1208",2684.5,0
"170","Rice_Kim_2020","y.pheno",4,1,2,0.2,"B1075",2426.24025312942,2426.24025312942,"B1075",2080.5,2426.24025312942,"B1075",2080.5,0
"171","Rice_Kim_2020","y.pheno",4,1,2,0.2,"A1259",2328.85389209221,0,"A1259",2420.5,0,"A1259",2420.5,1
"172","Rice_Kim_2020","y.pheno",4,1,2,0.2,"B1203",2223.11113448952,0,"B1203",2176.83333333333,0,"B1203",2176.83333333333,0
"173","Rice_Kim_2020","y.pheno",4,1,2,0.2,"B1053",2361.36459385159,0,"B1053",3031.83333333333,0,"B1053",3031.83333333333,0
"174","Rice_Kim_2020","y.pheno",4,1,2,0.2,"B1110",2252.39234932924,0,"B1110",1879.83333333333,0,"B1110",1879.83333333333,0
"175","Rice_Kim_2020","y.pheno",4,1,2,0.2,"M1469",2295.99827159047,0,"M1469",2275,0,"M1469",2275,1
"176","Rice_Kim_2020","y.pheno",4,1,2,0.2,"B1106",2449.81968602211,2449.81968602211,"B1106",2081.5,2449.81968602211,"B1106",2081.5,0
"177","Rice_Kim_2020","y.pheno",4,1,2,0.2,"A1316",2329.42893111341,0,"A1316",2567.16666666667,0,"A1316",2567.16666666667,0
