"","Data","Trait","testing_proportion","Fold","k","Env","Top_percentage_to_select","PM","PM_True","PM_Total_Rand","TBV_QP","TBV_Trad","TBV_Trad_True","TBV_Total_Rand","Mean_BV_QP","Mean_BV_Trad","Mean_BV_Trad_True","Mean_BV_Total_Rand","Var_Opt_QP","Var_Trad","Var_Trad_True","Var_Total_Rand","Expected_Loss_QP","Expected_Loss_Trad","Expected_Loss_Trad_True","Expected_Loss_Total_Rand","Ratio_QP","Ratio_Trad","Ratio_Trad_True","Ratio_Total_Rand","Ave_Rel_QP","Ave_Rel_Trad","Ave_Rel_Trad_True","Ave_Rel_Total_Rand"
"11","Rice_Kim_2020","y.pheno",0.2,1,1,3,0.2,100,0,0,15981.182484803,15981.182484803,17321.6666666667,15250.6666666667,3995.29562120075,3995.29562120075,4330.41666666667,3812.66666666667,28.316,28.316,27.68594,27.8906,15952.866484803,15952.866484803,17293.9807266667,15222.7760666667,564.387006808977,564.387006808977,625.648494025006,546.803104510719,1.693,1.693,1.640495,1.65755
"12","Rice_Kim_2020","y.pheno",0.2,2,1,3,0.2,100,0,25,15987.9285764806,15987.9285764806,17656.6666666667,16221.6666666667,3996.98214412016,3996.98214412016,4414.16666666667,4055.41666666667,28.27006,28.27006,27.79274,27.99592,15959.6585164806,15959.6585164806,17628.8739266667,16193.6707466667,565.542788960499,565.542788960499,635.297803191289,579.429669275618,1.68917166666667,1.68917166666667,1.649395,1.66632666666667
"13","Rice_Kim_2020","y.pheno",0.2,3,1,3,0.2,100,0,25,16030.9315540253,16030.9315540253,17060,15911,4007.73288850633,4007.73288850633,4265,3977.75,27.72046,27.72046,27.79256,28.15814,16003.2110940253,16003.2110940253,17032.20744,15882.84186,578.306837405488,578.306837405488,613.833342448483,565.058629582778,1.64337166666667,1.64337166666667,1.64938,1.679845
"14","Rice_Kim_2020","y.pheno",0.2,4,1,3,0.2,100,25,0,16144.9405910392,16144.9405910392,17038.3333333333,14961,4036.2351477598,4036.2351477598,4259.58333333333,3740.25,28.26274,28.26274,27.25176,28.1226,16116.6778510392,16116.6778510392,17011.0815733333,14932.8774,571.244705610256,571.244705610256,625.219557684837,531.992063322737,1.68856166666667,1.68856166666667,1.60431333333333,1.67688333333333
"15","Rice_Kim_2020","y.pheno",0.2,5,1,3,0.2,100,25,0,16084.5331011714,16084.5331011714,17182.6666666667,14958,4021.13327529285,4021.13327529285,4295.66666666667,3739.5,28.32518,28.32518,27.68988,27.99634,16056.2079211714,16056.2079211714,17154.9767866667,14930.00366,567.852811568061,567.852811568061,620.539585822209,534.28412428196,1.693765,1.693765,1.64082333333333,1.66636166666667
"16","Rice_Kim_2020","y.pheno",0.2,1,1,4,0.2,100,25,0,10294.5986974045,10294.5986974045,11541.3333333333,8499.66666666666,2573.64967435111,2573.64967435111,2885.33333333333,2124.91666666667,28.39024,28.39024,28.44554,27.8906,10266.2084574045,10266.2084574045,11512.8877933333,8471.77606666666,362.61048506122,362.61048506122,405.734372887044,304.750226480128,1.69918666666667,1.69918666666667,1.703795,1.65755
"17","Rice_Kim_2020","y.pheno",0.2,2,1,4,0.2,100,25,25,10201.016347434,10201.016347434,11584.6666666667,9728.33333333333,2550.25408685849,2550.25408685849,2896.16666666667,2432.08333333333,28.13502,28.13502,27.39798,27.99592,10172.881327434,10172.881327434,11557.2686866667,9700.33741333333,362.573630565536,362.573630565536,422.829225609576,347.491110609451,1.67791833333333,1.67791833333333,1.61649833333333,1.66632666666667
"18","Rice_Kim_2020","y.pheno",0.2,3,1,4,0.2,100,50,25,10389.8544957559,10389.8544957559,11726,9557,2597.46362393897,2597.46362393897,2931.5,2389.25,27.49872,27.49872,28.2438,28.15814,10362.3557757559,10362.3557757559,11697.7562,9528.84186,377.830477046054,377.830477046054,415.170763140937,339.404520326982,1.62489333333333,1.62489333333333,1.68698333333333,1.679845
"19","Rice_Kim_2020","y.pheno",0.2,4,1,4,0.2,100,0,25,10195.024739052,10195.024739052,11803,9767.66666666667,2548.75618476301,2548.75618476301,2950.75,2441.91666666667,28.10146,28.10146,27.50502,28.1226,10166.923279052,10166.923279052,11775.49498,9739.54406666667,362.793418528861,362.793418528861,429.121665790463,347.324453168152,1.67512166666667,1.67512166666667,1.62541833333333,1.67688333333333
"20","Rice_Kim_2020","y.pheno",0.2,5,1,4,0.2,100,25,0,10362.6122770164,10362.6122770164,11850,9798.66666666666,2590.6530692541,2590.6530692541,2962.5,2449.66666666667,28.2819,28.2819,27.59404,27.99634,10334.3303770164,10334.3303770164,11822.40596,9770.67032666666,366.40438856712,366.40438856712,429.440560352888,349.998130708038,1.69015833333333,1.69015833333333,1.63283666666667,1.66636166666667
"21","Rice_Kim_2020","y.pheno",0.2,1,1,5,0.2,100,25,25,13018.1269124446,13018.1269124446,14561,12276.6666666667,3254.53172811116,3254.53172811116,3640.25,3069.16666666667,28.3814,28.3814,28.2363,27.8906,12989.7455124446,12989.7455124446,14532.7637,12248.7760666667,458.685156914199,458.685156914199,515.68371210109,440.172196606264,1.69845,1.69845,1.68635833333333,1.65755
"22","Rice_Kim_2020","y.pheno",0.2,2,1,5,0.2,100,25,50,13194.7308212938,13194.7308212938,14227.6666666667,13219.6666666667,3298.68270532344,3298.68270532344,3556.91666666667,3304.91666666667,28.07704,28.07704,27.77366,27.99592,13166.6537812938,13166.6537812938,14199.8930066667,13191.6707466667,469.947359881731,469.947359881731,512.271939192266,472.199758631496,1.67308666666667,1.67308666666667,1.647805,1.66632666666667
"23","Rice_Kim_2020","y.pheno",0.2,3,1,5,0.2,100,0,25,13243.089698994,13243.089698994,13850,12971,3310.7724247485,3310.7724247485,3462.5,3242.75,29.22422,29.22422,27.76286,28.15814,13213.865478994,13213.865478994,13822.23714,12942.84186,453.154599130242,453.154599130242,498.867912023473,460.648324072542,1.768685,1.768685,1.646905,1.679845
"24","Rice_Kim_2020","y.pheno",0.2,4,1,5,0.2,100,0,25,13111.921971187,13111.921971187,14300.3333333333,12363,3277.98049279675,3277.98049279675,3575.08333333333,3090.75,29.12316,29.12316,27.66688,28.1226,13082.798811187,13082.798811187,14272.6664533333,12334.8774,450.223189076563,450.223189076563,516.875532526014,439.61084679226,1.76026333333333,1.76026333333333,1.63890666666667,1.67688333333333
