"","Data","Trait","Top_percentage_to_select","K_Value","Line","Observed","Predicted"
"132","Groundnut","T1",0.1,0.5,"ICGV00440",8.47433935447167,0
"133","Groundnut","T1",0.1,0.5,"ICGV01005",10.8752203225484,0
"134","Groundnut","T1",0.1,0.5,"ICGV01060",14.3624785650288,0
"135","Groundnut","T1",0.1,0.5,"ICGV01124",12.5271902238699,0
"136","Groundnut","T1",0.1,0.5,"ICGV01232",13.1423682609374,0
"137","Groundnut","T1",0.1,0.5,"ICGV01263",15.0047243111909,0
"138","Groundnut","T1",0.1,0.5,"ICGV01265",15.6624084784444,0
"139","Groundnut","T1",0.1,0.5,"ICGV01273",20.7711380945829,20.7711380945829
"140","Groundnut","T1",0.1,0.5,"ICGV01274",18.3419761861507,0
"141","Groundnut","T1",0.1,0.5,"ICGV01276",23.9117029376738,0
"142","Groundnut","T1",0.1,0.5,"ICGV01328",12.9189635685686,0
"143","Groundnut","T1",0.1,0.5,"ICGV01361",14.3581827099397,0
"144","Groundnut","T1",0.1,0.5,"ICGV01393",8.16177327542323,0
"145","Groundnut","T1",0.1,0.5,"ICGV01464",7.62202046943033,0
"146","Groundnut","T1",0.1,0.5,"ICGV01478",10.6515427734836,0
"147","Groundnut","T1",0.1,0.5,"ICGV01495",16.2108435588555,0
"148","Groundnut","T1",0.1,0.5,"ICGV02022",13.7248172264265,0
"149","Groundnut","T1",0.1,0.5,"ICGV02038",11.5777090859298,0
"150","Groundnut","T1",0.1,0.5,"ICGV02125",13.0072163930657,0
"151","Groundnut","T1",0.1,0.5,"ICGV02144",14.4596883111147,0
"152","Groundnut","T1",0.1,0.5,"ICGV02189",13.1236072151374,0
"153","Groundnut","T1",0.1,0.5,"ICGV02194",14.073692735354,0
"154","Groundnut","T1",0.1,0.5,"ICGV02206",14.528866076909,0
"155","Groundnut","T1",0.1,0.5,"ICGV02242",12.9127733369491,0
"156","Groundnut","T1",0.1,0.5,"ICGV02251",12.7375444748879,0
"157","Groundnut","T1",0.1,0.5,"ICGV02266",15.5159223374304,0
"158","Groundnut","T1",0.1,0.5,"ICGV02271",14.2582594367293,0
"159","Groundnut","T1",0.1,0.5,"ICGV02286",17.9787154327222,0
"160","Groundnut","T1",0.1,0.5,"ICGV02287",13.8706805197082,0
"161","Groundnut","T1",0.1,0.5,"ICGV02290",10.0383160153123,0
"162","Groundnut","T1",0.1,0.5,"ICGV02298",12.8709252309236,0
"163","Groundnut","T1",0.1,0.5,"ICGV02317",14.9877953706801,0
"164","Groundnut","T1",0.1,0.5,"ICGV02321",18.668951079529,18.668951079529
"165","Groundnut","T1",0.1,0.5,"ICGV02323",21.5923553879575,21.5923553879575
"166","Groundnut","T1",0.1,0.5,"ICGV02411",17.3817533205705,17.3817533205705
"167","Groundnut","T1",0.1,0.5,"ICGV02434",13.9454289562589,0
"168","Groundnut","T1",0.1,0.5,"ICGV02446",12.9175615105292,0
"169","Groundnut","T1",0.1,0.5,"ICGV03042",18.2802111940267,0
"170","Groundnut","T1",0.1,0.5,"ICGV03043",19.9632685185608,19.9632685185608
"171","Groundnut","T1",0.1,0.5,"ICGV03056",16.1821022743066,0
"172","Groundnut","T1",0.1,0.5,"ICGV03064",17.3852565214749,17.3852565214749
"173","Groundnut","T1",0.1,0.5,"ICGV03128",20.2334805097406,20.2334805097406
"174","Groundnut","T1",0.1,0.5,"ICGV03136",7.82744488915971,0
"175","Groundnut","T1",0.1,0.5,"ICGV03184",14.4056414760356,0
"176","Groundnut","T1",0.1,0.5,"ICGV03207",17.170668161234,0
"177","Groundnut","T1",0.1,0.5,"ICGV03397",12.8666057937907,0
