"","Data","Env","Trait","Top_percentage_to_select","K_Value","Line","Observed","Predicted"
"106","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1161",599,0
"107","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1162",599,0
"108","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1163",657,0
"109","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1164",657,657
"110","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1165",657,0
"111","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1166",657,0
"112","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1171",657,0
"113","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1172",657,0
"114","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1173",621,0
"115","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1174",621,0
"116","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1175",539,0
"117","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1176",539,0
"118","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1177",539,0
"119","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1178",539,0
"120","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1179",518,0
"121","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1180",518,0
"122","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1181",518,0
"123","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1182",518,0
"124","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1183",627,0
"125","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1184",627,0
"126","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1185",83,0
"127","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1186",83,0
"128","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1187",83,0
"129","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1190",627,0
"130","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1191",627,0
"131","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1192",568,0
"132","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1193",568,0
"133","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1197",612,0
"134","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1198",612,0
"135","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1199",570,0
"136","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1200",627,0
"137","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1201",627,0
"138","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1202",518,0
"139","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1203",518,0
"140","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1205",599,0
"141","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1206",660,660
"142","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1207",660,0
"143","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1208",574,0
"144","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1209",574,0
"145","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1210",660,0
"146","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1211",660,660
"147","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1212",660,660
"148","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1213",660,660
"149","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1214",657,657
"150","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1215",657,0
"151","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1218",539,0
"152","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1219",539,0
"153","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1220",539,0
"154","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1221",539,0
"155","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1222",574,0
"156","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1223",574,0
"157","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1228",539,0
"158","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1229",539,0
"159","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1230",539,0
"160","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1231",539,0
"161","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1232",570,0
"162","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1233",627,0
"163","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1234",627,0
"164","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1235",660,660
"165","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1238",622,0
"166","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1239",622,0
"167","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1240",657,657
"168","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1241",657,657
"169","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1242",612,0
"170","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1243",612,0
"171","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1244",599,0
"172","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1246",499,0
"173","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1247",499,0
"174","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1248",499,0
"175","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1249",499,0
"176","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1250",518,0
"177","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1251",518,0
"178","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1252",597,0
"179","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1253",597,0
"180","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1254",570,0
"181","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1255",570,0
"182","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1256",539,0
"183","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1257",660,0
"184","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1258",660,660
"185","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1262",622,0
"186","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1263",622,0
"187","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1264",622,0
"188","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1265",518,0
"189","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1266",518,0
"190","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1275",574,0
"191","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1276",574,0
"192","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1277",83,0
"193","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1278",83,0
"194","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1279",83,0
"195","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1280",83,0
"196","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1292",599,0
"197","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1293",599,0
"198","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1294",599,0
"199","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1295",627,0
"200","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1296",627,0
"201","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1297",621,0
"202","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1298",621,0
"203","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1299",83,0
"204","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1300",83,0
"205","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1301",83,0
"206","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1302",83,0
"207","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1303",627,0
"208","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1304",627,0
"209","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1305",597,0
"210","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1306",597,0
