"","Data","Trait","Top_percentage_to_select","K_Value","Line","Observed","Predicted"
"209","Rice_Kim_2020","T1",0.1,1,"M1463",3451.66666666667,0
"210","Rice_Kim_2020","T1",0.1,1,"M1464",3561,0
"211","Rice_Kim_2020","T1",0.1,1,"M1465",3195.33333333333,0
"212","Rice_Kim_2020","T1",0.1,1,"M1467",3429,0
"213","Rice_Kim_2020","T1",0.1,1,"M1469",3485.33333333333,0
"214","Rice_Kim_2020","T1",0.1,1,"M1471",3415.33333333333,0
"215","Rice_Kim_2020","T1",0.1,1.5,"A1257",3457.33333333333,0
"216","Rice_Kim_2020","T1",0.1,1.5,"A1258",3911,0
"217","Rice_Kim_2020","T1",0.1,1.5,"A1259",3836,0
"218","Rice_Kim_2020","T1",0.1,1.5,"A1260",3611.66666666667,0
"219","Rice_Kim_2020","T1",0.1,1.5,"A1261",4085,4085
"220","Rice_Kim_2020","T1",0.1,1.5,"A1262",4449.33333333333,4449.33333333333
"221","Rice_Kim_2020","T1",0.1,1.5,"A1263",3872.66666666667,0
"222","Rice_Kim_2020","T1",0.1,1.5,"A1264",3700.33333333333,0
"223","Rice_Kim_2020","T1",0.1,1.5,"A1265",3565.66666666667,0
"224","Rice_Kim_2020","T1",0.1,1.5,"A1267",3408,0
"225","Rice_Kim_2020","T1",0.1,1.5,"A1268",3435,0
"226","Rice_Kim_2020","T1",0.1,1.5,"A1269",3767,0
"227","Rice_Kim_2020","T1",0.1,1.5,"A1270",3720,0
"228","Rice_Kim_2020","T1",0.1,1.5,"A1272",3919.33333333333,0
"229","Rice_Kim_2020","T1",0.1,1.5,"A1273",3866.66666666667,0
"230","Rice_Kim_2020","T1",0.1,1.5,"A1274",4029,4029
"231","Rice_Kim_2020","T1",0.1,1.5,"A1275",3743.33333333333,0
"232","Rice_Kim_2020","T1",0.1,1.5,"A1276",3750.66666666667,0
"233","Rice_Kim_2020","T1",0.1,1.5,"A1277",3715.66666666667,0
"234","Rice_Kim_2020","T1",0.1,1.5,"A1279",3714.33333333333,0
"235","Rice_Kim_2020","T1",0.1,1.5,"A1302",3913.66666666667,0
"236","Rice_Kim_2020","T1",0.1,1.5,"A1304",4162.33333333333,4162.33333333333
"237","Rice_Kim_2020","T1",0.1,1.5,"A1307",3955.66666666667,3955.66666666667
"238","Rice_Kim_2020","T1",0.1,1.5,"A1309",3821.66666666667,0
"239","Rice_Kim_2020","T1",0.1,1.5,"A1310",3826,0
"240","Rice_Kim_2020","T1",0.1,1.5,"A1311",3748,0
"241","Rice_Kim_2020","T1",0.1,1.5,"A1312",3824.66666666667,0
"242","Rice_Kim_2020","T1",0.1,1.5,"A1313",3705.33333333333,0
"243","Rice_Kim_2020","T1",0.1,1.5,"A1314",3633.66666666667,0
"244","Rice_Kim_2020","T1",0.1,1.5,"A1316",3826.66666666667,0
"245","Rice_Kim_2020","T1",0.1,1.5,"A1317",3789.66666666667,0
"246","Rice_Kim_2020","T1",0.1,1.5,"A1318",3566.33333333333,0
"247","Rice_Kim_2020","T1",0.1,1.5,"A1319",3638,0
"248","Rice_Kim_2020","T1",0.1,1.5,"A1320",3344.66666666667,0
"249","Rice_Kim_2020","T1",0.1,1.5,"A1321",3484.66666666667,0
"250","Rice_Kim_2020","T1",0.1,1.5,"B1005",3829.33333333333,0
"251","Rice_Kim_2020","T1",0.1,1.5,"B1007",4259.66666666667,4259.66666666667
"252","Rice_Kim_2020","T1",0.1,1.5,"B1008",3924,0
"253","Rice_Kim_2020","T1",0.1,1.5,"B1009",4189.66666666667,4189.66666666667
"254","Rice_Kim_2020","T1",0.1,1.5,"B1010",3960.33333333333,3960.33333333333
"255","Rice_Kim_2020","T1",0.1,1.5,"B1011",3869.66666666667,0
"256","Rice_Kim_2020","T1",0.1,1.5,"B1012",3703,0
"257","Rice_Kim_2020","T1",0.1,1.5,"B1019",3510.33333333333,0
"258","Rice_Kim_2020","T1",0.1,1.5,"B1053",3761.33333333333,0
"259","Rice_Kim_2020","T1",0.1,1.5,"B1055",3781.33333333333,0
"260","Rice_Kim_2020","T1",0.1,1.5,"B1057",3716.66666666667,0
"261","Rice_Kim_2020","T1",0.1,1.5,"B1058",3614,0
"262","Rice_Kim_2020","T1",0.1,1.5,"B1060",3756,0
"263","Rice_Kim_2020","T1",0.1,1.5,"B1061",3583.33333333333,0
"264","Rice_Kim_2020","T1",0.1,1.5,"B1062",3991.66666666667,3991.66666666667
"265","Rice_Kim_2020","T1",0.1,1.5,"B1075",3869.33333333333,0
"266","Rice_Kim_2020","T1",0.1,1.5,"B1102",3789.66666666667,0
"267","Rice_Kim_2020","T1",0.1,1.5,"B1103",3728,0
"268","Rice_Kim_2020","T1",0.1,1.5,"B1104",3667,0
"269","Rice_Kim_2020","T1",0.1,1.5,"B1105",3729.33333333333,0
"270","Rice_Kim_2020","T1",0.1,1.5,"B1106",3807,0
"271","Rice_Kim_2020","T1",0.1,1.5,"B1107",3446.33333333333,0
"272","Rice_Kim_2020","T1",0.1,1.5,"B1110",3876.66666666667,0
"273","Rice_Kim_2020","T1",0.1,1.5,"B1111",3476,0
"274","Rice_Kim_2020","T1",0.1,1.5,"B1151",3678.66666666667,0
"275","Rice_Kim_2020","T1",0.1,1.5,"B1152",3566.33333333333,0
"276","Rice_Kim_2020","T1",0.1,1.5,"B1153",3790.33333333333,0
"277","Rice_Kim_2020","T1",0.1,1.5,"B1155",3459,0
"278","Rice_Kim_2020","T1",0.1,1.5,"B1157",3650.33333333333,0
"279","Rice_Kim_2020","T1",0.1,1.5,"B1158",4039.33333333333,4039.33333333333
"280","Rice_Kim_2020","T1",0.1,1.5,"B1159",3696,0
"281","Rice_Kim_2020","T1",0.1,1.5,"B1160",3797,0
"282","Rice_Kim_2020","T1",0.1,1.5,"B1161",3537,0
"283","Rice_Kim_2020","T1",0.1,1.5,"B1201",3858.66666666667,0
"284","Rice_Kim_2020","T1",0.1,1.5,"B1202",3769,0
"285","Rice_Kim_2020","T1",0.1,1.5,"B1203",3688,0
"286","Rice_Kim_2020","T1",0.1,1.5,"B1205",3625.33333333333,0
"287","Rice_Kim_2020","T1",0.1,1.5,"B1206",3589.33333333333,0
"288","Rice_Kim_2020","T1",0.1,1.5,"B1207",3501,0
"289","Rice_Kim_2020","T1",0.1,1.5,"B1208",3766.66666666667,0
"290","Rice_Kim_2020","T1",0.1,1.5,"B1209",3469,0
"291","Rice_Kim_2020","T1",0.1,1.5,"B1210",3455.33333333333,0
"292","Rice_Kim_2020","T1",0.1,1.5,"B1211",3564.33333333333,0
"293","Rice_Kim_2020","T1",0.1,1.5,"B1216",3292,0
"294","Rice_Kim_2020","T1",0.1,1.5,"B1217",3469,0
"295","Rice_Kim_2020","T1",0.1,1.5,"B1218",3675.66666666667,0
"296","Rice_Kim_2020","T1",0.1,1.5,"B1219",4006,4006
"297","Rice_Kim_2020","T1",0.1,1.5,"B1220",3598,0
"298","Rice_Kim_2020","T1",0.1,1.5,"M1345",3346.33333333333,0
"299","Rice_Kim_2020","T1",0.1,1.5,"M1347",3274.33333333333,0
"300","Rice_Kim_2020","T1",0.1,1.5,"M1351",3586.33333333333,0
