"","Data","Trait","Top_percentage_to_select","K_Value","PM","TBV_QP","TBV_Trad","Mean_BV_QP","Mean_BV_Trad","Var_Opt_QP","Var_Trad","Expected_Loss_QP","Expected_Loss_Trad","Ratio_QP","Ratio_Trad","Av_Rel_QP","Ave_Rel_Trad"
"11","Rice_Kim_2020","T1",0.1,1.5,100,32474.3333333333,32474.3333333333,2952.21212121212,2952.21212121212,308.19867,308.19867,32166.1346633333,32166.1346633333,105.368181288171,105.368181288171,1.66787072727273,1.68076981818182
"12","Rice_Kim_2020","T1",0.1,2,100,32474.3333333333,32474.3333333333,2952.21212121212,2952.21212121212,410.93156,410.93156,32063.4017733333,32063.4017733333,79.0261359661286,79.0261359661286,1.66787072727273,1.68076981818182
"13","Rice_Kim_2020","T1",0.2,0.5,100,59782.3333333333,59782.3333333333,2846.77777777778,2846.77777777778,372.9323,372.9323,59409.4010333333,59409.4010333333,160.303447390675,160.303447390675,1.6758680952381,1.68857233333333
"14","Rice_Kim_2020","T1",0.2,1,100,59782.3333333333,59782.3333333333,2846.77777777778,2846.77777777778,745.8646,745.8646,59036.4687333333,59036.4687333333,80.1517236953374,80.1517236953374,1.6758680952381,1.68857233333333
"15","Rice_Kim_2020","T1",0.2,1.5,100,59782.3333333333,59782.3333333333,2846.77777777778,2846.77777777778,1118.7969,1118.7969,58663.5364333333,58663.5364333333,53.4344824635582,53.4344824635582,1.6758680952381,1.68857233333333
"16","Rice_Kim_2020","T1",0.2,2,100,59782.3333333333,59782.3333333333,2846.77777777778,2846.77777777778,1491.7292,1491.7292,58290.6041333333,58290.6041333333,40.0758618476687,40.0758618476687,1.6758680952381,1.68857233333333
"17","Rice_Kim_2020","T1",0.1,0.5,100,48214.3333333333,48214.3333333333,4383.12121212121,4383.12121212121,101.44289,101.44289,48112.8904433333,48112.8904433333,475.285486576076,475.285486576076,1.64441618181818,1.68076981818182
"18","Rice_Kim_2020","T1",0.1,1,100,48214.3333333333,48214.3333333333,4383.12121212121,4383.12121212121,202.88578,202.88578,48011.4475533333,48011.4475533333,237.642743288038,237.642743288038,1.64441618181818,1.68076981818182
"19","Rice_Kim_2020","T1",0.1,1.5,100,48214.3333333333,48214.3333333333,4383.12121212121,4383.12121212121,304.32867,304.32867,47910.0046633333,47910.0046633333,158.428495525359,158.428495525359,1.64441618181818,1.68076981818182
"20","Rice_Kim_2020","T1",0.1,2,100,48214.3333333333,48214.3333333333,4383.12121212121,4383.12121212121,405.77156,405.77156,47808.5617733333,47808.5617733333,118.821371644019,118.821371644019,1.64441618181818,1.68076981818182
"21","Rice_Kim_2020","T1",0.2,0.5,100,90471.3333333333,90471.3333333333,4308.15873015873,4308.15873015873,368.33389,368.33389,90102.9994433333,90102.9994433333,245.623158198485,245.623158198485,1.6539709047619,1.68857233333333
"22","Rice_Kim_2020","T1",0.2,1,100,90471.3333333333,90471.3333333333,4308.15873015873,4308.15873015873,736.66778,736.66778,89734.6655533333,89734.6655533333,122.811579099242,122.811579099242,1.6539709047619,1.68857233333333
"23","Rice_Kim_2020","T1",0.2,1.5,100,90471.3333333333,90471.3333333333,4308.15873015873,4308.15873015873,1105.00167,1105.00167,89366.3316633333,89366.3316633333,81.8743860661616,81.8743860661616,1.6539709047619,1.68857233333333
"24","Rice_Kim_2020","T1",0.2,2,100,90471.3333333333,90471.3333333333,4308.15873015873,4308.15873015873,1473.33556,1473.33556,88997.9977733333,88997.9977733333,61.4057895496212,61.4057895496212,1.6539709047619,1.68857233333333
"25","Rice_Kim_2020","T1",0.1,0.5,100,33095.6666666666,33095.6666666666,3008.69696969697,3008.69696969697,101.49148,101.49148,32994.1751866667,32994.1751866667,326.09305398509,326.09305398509,1.64529963636364,1.68076981818182
"26","Rice_Kim_2020","T1",0.1,1,100,33095.6666666666,33095.6666666666,3008.69696969697,3008.69696969697,202.98296,202.98296,32892.6837066666,32892.6837066666,163.046526992545,163.046526992545,1.64529963636364,1.68076981818182
